code;description;default_value;dictionary_id
C_SYSTEM-D_FA.fa-clipboard;fa-clipboard css class;fa-clipboard;3
C_SYSTEM-D_FA.fa-columns;fa-columns css class;fa-columns;3
C_SYSTEM-D_FA.fa-copy;fa-copy css class;fa-copy;3
C_SYSTEM-D_FA.fa-cut;fa-cut css class;fa-cut;3
C_SYSTEM-D_FA.fa-dedent;fa-dedent css class;fa-dedent;3
C_SYSTEM-D_FA.fa-eraser;fa-eraser css class;fa-eraser;3
C_SYSTEM-D_FA.fa-file;fa-file css class;fa-file;3
C_SYSTEM-D_FA.fa-file-o;fa-file-o css class;fa-file-o;3
C_SYSTEM-D_FA.fa-file-text;fa-file-text css class;fa-file-text;3
C_SYSTEM-D_FA.fa-file-text-o;fa-file-text-o css class;fa-file-text-o;3
C_SYSTEM-D_FA.fa-files-o;fa-files-o css class;fa-files-o;3
C_SYSTEM-D_FA.fa-floppy-o;fa-floppy-o css class;fa-floppy-o;3
C_SYSTEM-D_FA.fa-font;fa-font css class;fa-font;3
C_SYSTEM-D_FA.fa-indent;fa-indent css class;fa-indent;3
C_SYSTEM-D_FA.fa-italic;fa-italic css class;fa-italic;3
C_SYSTEM-D_FA.fa-link;fa-link css class;fa-link;3
C_SYSTEM-D_FA.fa-list;fa-list css class;fa-list;3
C_SYSTEM-D_FA.fa-list-alt;fa-list-alt css class;fa-list-alt;3
C_SYSTEM-D_FA.fa-list-ol;fa-list-ol css class;fa-list-ol;3
C_SYSTEM-D_FA.fa-list-ul;fa-list-ul css class;fa-list-ul;3
C_SYSTEM-D_FA.fa-outdent;fa-outdent css class;fa-outdent;3
C_SYSTEM-D_FA.fa-paperclip;fa-paperclip css class;fa-paperclip;3
C_SYSTEM-D_FA.fa-paste;fa-paste css class;fa-paste;3
C_SYSTEM-D_FA.fa-repeat;fa-repeat css class;fa-repeat;3
C_SYSTEM-D_FA.fa-rotate-left;fa-rotate-left css class;fa-rotate-left;3
C_SYSTEM-D_FA.fa-rotate-right;fa-rotate-right css class;fa-rotate-right;3
C_SYSTEM-D_FA.fa-save;fa-save css class;fa-save;3
C_SYSTEM-D_FA.fa-scissors;fa-scissors css class;fa-scissors;3
C_SYSTEM-D_FA.fa-strikethrough;fa-strikethrough css class;fa-strikethrough;3
C_SYSTEM-D_FA.fa-table;fa-table css class;fa-table;3
C_SYSTEM-D_FA.fa-text-height;fa-text-height css class;fa-text-height;3
C_SYSTEM-D_FA.fa-text-width;fa-text-width css class;fa-text-width;3
C_SYSTEM-D_FA.fa-th;fa-th css class;fa-th;3
C_SYSTEM-D_FA.fa-th-large;fa-th-large css class;fa-th-large;3
C_SYSTEM-D_FA.fa-th-list;fa-th-list css class;fa-th-list;3
C_SYSTEM-D_FA.fa-underline;fa-underline css class;fa-underline;3
C_SYSTEM-D_FA.fa-undo;fa-undo css class;fa-undo;3
C_SYSTEM-D_FA.fa-unlink;fa-unlink css class;fa-unlink;3
C_SYSTEM-D_FA.fa-angle-double-down;fa-angle-double-down css class;fa-angle-double-down;3
C_SYSTEM-D_FA.fa-angle-double-left;fa-angle-double-left css class;fa-angle-double-left;3
C_SYSTEM-D_FA.fa-angle-double-right;fa-angle-double-right css class;fa-angle-double-right;3
C_SYSTEM-D_FA.fa-angle-double-up;fa-angle-double-up css class;fa-angle-double-up;3
C_SYSTEM-D_FA.fa-angle-down;fa-angle-down css class;fa-angle-down;3
C_SYSTEM-D_FA.fa-angle-left;fa-angle-left css class;fa-angle-left;3
C_SYSTEM-D_FA.fa-angle-right;fa-angle-right css class;fa-angle-right;3
C_SYSTEM-D_FA.fa-angle-up;fa-angle-up css class;fa-angle-up;3
C_SYSTEM-D_FA.fa-arrow-circle-down;fa-arrow-circle-down css class;fa-arrow-circle-down;3
C_SYSTEM-D_FA.fa-arrow-circle-left;fa-arrow-circle-left css class;fa-arrow-circle-left;3
C_SYSTEM-D_FA.fa-arrow-circle-o-down;fa-arrow-circle-o-down css class;fa-arrow-circle-o-down;3
C_SYSTEM-D_FA.fa-arrow-circle-o-left;fa-arrow-circle-o-left css class;fa-arrow-circle-o-left;3
C_SYSTEM-D_FA.fa-arrow-circle-o-right;fa-arrow-circle-o-right css class;fa-arrow-circle-o-right;3
C_SYSTEM-D_FA.fa-arrow-circle-o-up;fa-arrow-circle-o-up css class;fa-arrow-circle-o-up;3
C_SYSTEM-D_FA.fa-arrow-circle-right;fa-arrow-circle-right css class;fa-arrow-circle-right;3
C_SYSTEM-D_FA.fa-arrow-circle-up;fa-arrow-circle-up css class;fa-arrow-circle-up;3
C_SYSTEM-D_FA.fa-arrow-down;fa-arrow-down css class;fa-arrow-down;3
C_SYSTEM-D_FA.fa-arrow-left;fa-arrow-left css class;fa-arrow-left;3
C_SYSTEM-D_FA.fa-arrow-right;fa-arrow-right css class;fa-arrow-right;3
C_SYSTEM-D_FA.fa-arrow-up;fa-arrow-up css class;fa-arrow-up;3
C_SYSTEM-D_FA.fa-arrows;fa-arrows css class;fa-arrows;3
C_SYSTEM-D_FA.fa-arrows-alt;fa-arrows-alt css class;fa-arrows-alt;3
C_SYSTEM-D_FA.fa-arrows-h;fa-arrows-h css class;fa-arrows-h;3
C_SYSTEM-D_FA.fa-arrows-v;fa-arrows-v css class;fa-arrows-v;3
C_SYSTEM-D_FA.fa-caret-down;fa-caret-down css class;fa-caret-down;3
C_SYSTEM-D_FA.fa-caret-left;fa-caret-left css class;fa-caret-left;3
C_SYSTEM-D_FA.fa-caret-right;fa-caret-right css class;fa-caret-right;3
C_SYSTEM-D_FA.fa-caret-square-o-down;fa-caret-square-o-down css class;fa-caret-square-o-down;3
C_SYSTEM-D_FA.fa-caret-square-o-left;fa-caret-square-o-left css class;fa-caret-square-o-left;3
C_SYSTEM-D_FA.fa-caret-square-o-right;fa-caret-square-o-right css class;fa-caret-square-o-right;3
C_SYSTEM-D_FA.fa-caret-square-o-up;fa-caret-square-o-up css class;fa-caret-square-o-up;3
C_SYSTEM-D_FA.fa-caret-up;fa-caret-up css class;fa-caret-up;3
C_SYSTEM-D_FA.fa-chevron-circle-down;fa-chevron-circle-down css class;fa-chevron-circle-down;3
C_SYSTEM-D_FA.fa-chevron-circle-left;fa-chevron-circle-left css class;fa-chevron-circle-left;3
C_SYSTEM-D_FA.fa-chevron-circle-right;fa-chevron-circle-right css class;fa-chevron-circle-right;3
C_SYSTEM-D_FA.fa-chevron-circle-up;fa-chevron-circle-up css class;fa-chevron-circle-up;3
C_SYSTEM-D_FA.fa-chevron-down;fa-chevron-down css class;fa-chevron-down;3
C_SYSTEM-D_FA.fa-chevron-left;fa-chevron-left css class;fa-chevron-left;3
C_SYSTEM-D_FA.fa-chevron-right;fa-chevron-right css class;fa-chevron-right;3
C_SYSTEM-D_FA.fa-chevron-up;fa-chevron-up css class;fa-chevron-up;3
C_SYSTEM-D_FA.fa-hand-o-down;fa-hand-o-down css class;fa-hand-o-down;3
C_SYSTEM-D_FA.fa-hand-o-left;fa-hand-o-left css class;fa-hand-o-left;3
C_SYSTEM-D_FA.fa-hand-o-right;fa-hand-o-right css class;fa-hand-o-right;3
C_SYSTEM-D_FA.fa-hand-o-up;fa-hand-o-up css class;fa-hand-o-up;3
C_SYSTEM-D_FA.fa-long-arrow-down;fa-long-arrow-down css class;fa-long-arrow-down;3
C_SYSTEM-D_FA.fa-long-arrow-left;fa-long-arrow-left css class;fa-long-arrow-left;3
C_SYSTEM-D_FA.fa-long-arrow-right;fa-long-arrow-right css class;fa-long-arrow-right;3
C_SYSTEM-D_FA.fa-long-arrow-up;fa-long-arrow-up css class;fa-long-arrow-up;3
C_SYSTEM-D_FA.fa-toggle-down;fa-toggle-down css class;fa-toggle-down;3
C_SYSTEM-D_FA.fa-toggle-left;fa-toggle-left css class;fa-toggle-left;3
C_SYSTEM-D_FA.fa-toggle-right;fa-toggle-right css class;fa-toggle-right;3
C_SYSTEM-D_FA.fa-toggle-up;fa-toggle-up css class;fa-toggle-up;3
C_SYSTEM-D_FA.fa-arrows-alt;fa-arrows-alt css class;fa-arrows-alt;3
C_SYSTEM-D_FA.fa-backward;fa-backward css class;fa-backward;3
C_SYSTEM-D_FA.fa-compress;fa-compress css class;fa-compress;3
C_SYSTEM-D_FA.fa-eject;fa-eject css class;fa-eject;3
C_SYSTEM-D_FA.fa-expand;fa-expand css class;fa-expand;3
C_SYSTEM-D_FA.fa-fast-backward;fa-fast-backward css class;fa-fast-backward;3
C_SYSTEM-D_FA.fa-fast-forward;fa-fast-forward css class;fa-fast-forward;3
C_SYSTEM-D_FA.fa-forward;fa-forward css class;fa-forward;3
C_SYSTEM-D_FA.fa-pause;fa-pause css class;fa-pause;3
C_SYSTEM-D_FA.fa-play;fa-play css class;fa-play;3
C_SYSTEM-D_FA.fa-play-circle;fa-play-circle css class;fa-play-circle;3
C_SYSTEM-D_FA.fa-play-circle-o;fa-play-circle-o css class;fa-play-circle-o;3
C_SYSTEM-D_FA.fa-step-backward;fa-step-backward css class;fa-step-backward;3
C_SYSTEM-D_FA.fa-step-forward;fa-step-forward css class;fa-step-forward;3
C_SYSTEM-D_FA.fa-stop;fa-stop css class;fa-stop;3
C_SYSTEM-D_FA.fa-youtube-play;fa-youtube-play css class;fa-youtube-play;3
C_SYSTEM-D_FA.fa-adn;fa-adn css class;fa-adn;3
C_SYSTEM-D_FA.fa-android;fa-android css class;fa-android;3
C_SYSTEM-D_FA.fa-apple;fa-apple css class;fa-apple;3
C_SYSTEM-D_FA.fa-bitbucket;fa-bitbucket css class;fa-bitbucket;3
C_SYSTEM-D_FA.fa-bitbucket-square;fa-bitbucket-square css class;fa-bitbucket-square;3
C_SYSTEM-D_FA.fa-bitcoin;fa-bitcoin css class;fa-bitcoin;3
C_SYSTEM-D_FA.fa-btc;fa-btc css class;fa-btc;3
C_SYSTEM-D_FA.fa-css3;fa-css3 css class;fa-css3;3
C_SYSTEM-D_FA.fa-dribbble;fa-dribbble css class;fa-dribbble;3
C_SYSTEM-D_FA.fa-dropbox;fa-dropbox css class;fa-dropbox;3
C_SYSTEM-D_FA.fa-facebook;fa-facebook css class;fa-facebook;3
C_SYSTEM-D_FA.fa-facebook-square;fa-facebook-square css class;fa-facebook-square;3
C_SYSTEM-D_FA.fa-flickr;fa-flickr css class;fa-flickr;3
C_SYSTEM-D_FA.fa-foursquare;fa-foursquare css class;fa-foursquare;3
C_SYSTEM-D_FA.fa-github;fa-github css class;fa-github;3
C_SYSTEM-D_FA.fa-github-alt;fa-github-alt css class;fa-github-alt;3
C_SYSTEM-D_FA.fa-github-square;fa-github-square css class;fa-github-square;3
C_SYSTEM-D_FA.fa-gittip;fa-gittip css class;fa-gittip;3
C_SYSTEM-D_FA.fa-google-plus;fa-google-plus css class;fa-google-plus;3
C_SYSTEM-D_FA.fa-google-plus-square;fa-google-plus-square css class;fa-google-plus-square;3
C_SYSTEM-D_FA.fa-html5;fa-html5 css class;fa-html5;3
C_SYSTEM-D_FA.fa-instagram;fa-instagram css class;fa-instagram;3
C_SYSTEM-D_FA.fa-linkedin;fa-linkedin css class;fa-linkedin;3
C_SYSTEM-D_FA.fa-linkedin-square;fa-linkedin-square css class;fa-linkedin-square;3
C_SYSTEM-D_FA.fa-linux;fa-linux css class;fa-linux;3
C_SYSTEM-D_FA.fa-maxcdn;fa-maxcdn css class;fa-maxcdn;3
C_SYSTEM-D_FA.fa-pagelines;fa-pagelines css class;fa-pagelines;3
C_SYSTEM-D_FA.fa-pinterest;fa-pinterest css class;fa-pinterest;3
C_SYSTEM-D_FA.fa-pinterest-square;fa-pinterest-square css class;fa-pinterest-square;3
C_SYSTEM-D_FA.fa-renren;fa-renren css class;fa-renren;3
C_SYSTEM-D_FA.fa-skype;fa-skype css class;fa-skype;3
C_SYSTEM-D_FA.fa-stack-exchange;fa-stack-exchange css class;fa-stack-exchange;3
C_SYSTEM-D_FA.fa-stack-overflow;fa-stack-overflow css class;fa-stack-overflow;3
C_SYSTEM-D_FA.fa-trello;fa-trello css class;fa-trello;3
C_SYSTEM-D_FA.fa-tumblr;fa-tumblr css class;fa-tumblr;3
C_SYSTEM-D_FA.fa-tumblr-square;fa-tumblr-square css class;fa-tumblr-square;3
C_SYSTEM-D_FA.fa-twitter;fa-twitter css class;fa-twitter;3
C_SYSTEM-D_FA.fa-twitter-square;fa-twitter-square css class;fa-twitter-square;3
C_SYSTEM-D_FA.fa-vimeo-square;fa-vimeo-square css class;fa-vimeo-square;3
C_SYSTEM-D_FA.fa-vk;fa-vk css class;fa-vk;3
C_SYSTEM-D_FA.fa-weibo;fa-weibo css class;fa-weibo;3
C_SYSTEM-D_FA.fa-windows;fa-windows css class;fa-windows;3
C_SYSTEM-D_FA.fa-xing;fa-xing css class;fa-xing;3
C_SYSTEM-D_FA.fa-xing-square;fa-xing-square css class;fa-xing-square;3
C_SYSTEM-D_FA.fa-youtube;fa-youtube css class;fa-youtube;3
C_SYSTEM-D_FA.fa-youtube-play;fa-youtube-play css class;fa-youtube-play;3
C_SYSTEM-D_FA.fa-youtube-square;fa-youtube-square css class;fa-youtube-square;3
C_SYSTEM-D_FA.fa-ambulance;fa-ambulance css class;fa-ambulance;3
C_SYSTEM-D_FA.fa-h-square;fa-h-square css class;fa-h-square;3
C_SYSTEM-D_FA.fa-hospital-o;fa-hospital-o css class;fa-hospital-o;3
C_SYSTEM-D_FA.fa-medkit;fa-medkit css class;fa-medkit;3
C_SYSTEM-D_FA.fa-plus-square;fa-plus-square css class;fa-plus-square;3
C_SYSTEM-D_FA.fa-stethoscope;fa-stethoscope css class;fa-stethoscope;3
C_SYSTEM-D_FA.fa-user-md;fa-user-md css class;fa-user-md;3
C_SYSTEM-D_FA.fa-wheelchair;fa-wheelchair css class;fa-wheelchair;3
