id;code;description;default_value
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-arrow-circle-o-left;fa-arrow-circle-o-left css class;fa-arrow-circle-o-left
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-caret-square-o-left;fa-caret-square-o-left css class;fa-caret-square-o-left
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-toggle-left;fa-toggle-left css class;fa-toggle-left
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-dot-circle-o;fa-dot-circle-o css class;fa-dot-circle-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-wheelchair;fa-wheelchair css class;fa-wheelchair
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-vimeo-square;fa-vimeo-square css class;fa-vimeo-square
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-try;fa-try css class;fa-try
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-turkish-lira;fa-turkish-lira css class;fa-turkish-lira
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-plus-square-o;fa-plus-square-o css class;fa-plus-square-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-adjust;fa-adjust css class;fa-adjust
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-anchor;fa-anchor css class;fa-anchor
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-archive;fa-archive css class;fa-archive
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-arrows;fa-arrows css class;fa-arrows
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-arrows-h;fa-arrows-h css class;fa-arrows-h
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-arrows-v;fa-arrows-v css class;fa-arrows-v
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-asterisk;fa-asterisk css class;fa-asterisk
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-ban;fa-ban css class;fa-ban
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-bar-chart-o;fa-bar-chart-o css class;fa-bar-chart-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-barcode;fa-barcode css class;fa-barcode
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-bars;fa-bars css class;fa-bars
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-beer;fa-beer css class;fa-beer
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-bell;fa-bell css class;fa-bell
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-bell-o;fa-bell-o css class;fa-bell-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-bolt;fa-bolt css class;fa-bolt
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-book;fa-book css class;fa-book
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-bookmark;fa-bookmark css class;fa-bookmark
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-bookmark-o;fa-bookmark-o css class;fa-bookmark-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-briefcase;fa-briefcase css class;fa-briefcase
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-bug;fa-bug css class;fa-bug
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-building-o;fa-building-o css class;fa-building-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-bullhorn;fa-bullhorn css class;fa-bullhorn
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-bullseye;fa-bullseye css class;fa-bullseye
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-calendar;fa-calendar css class;fa-calendar
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-calendar-o;fa-calendar-o css class;fa-calendar-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-camera;fa-camera css class;fa-camera
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-camera-retro;fa-camera-retro css class;fa-camera-retro
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-caret-square-o-down;fa-caret-square-o-down css class;fa-caret-square-o-down
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-caret-square-o-left;fa-caret-square-o-left css class;fa-caret-square-o-left
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-caret-square-o-right;fa-caret-square-o-right css class;fa-caret-square-o-right
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-caret-square-o-up;fa-caret-square-o-up css class;fa-caret-square-o-up
